depth (ft),WOB (lbf),RPM,ROP_data ft/hr
1387.4,31109.125,89.7875,18.425
1387.5,31053.75,100.15,28.0625
1387.6,32283.875,97.1,23.85
1387.7001,32371.625,96.875,22.25
1387.7876,32414.875,95.0375,19.6625
1387.8,32307.375,93.525,19.5
1387.8375,32698,91.7875,24.8125
1387.9,32514.5,94.2625,25.7375
1387.9375,32349.125,96.2625,19.5
1388,32558.375,97.2125,20.725
1388.025,32588.875,83.6375,17.075
1388.1,32269.625,88.2625,15.9
1388.175,32443.375,92.5625,19.9625
1388.2001,32598.875,90.425,20.1625
1388.275,31868.875,95.75,26.3625
1388.3375,32910.625,95.8375,19.0625
1388.4,32523.375,90.25,19.4375
1388.5,32593.625,87.775,19.15
1388.5375,32517.5,89.5125,21.825
1388.6,32367.5,89.9375,21.975
1388.625,33006,82.1,23.5875
1388.7001,32793.75,83.15,22.4
1388.7251,32434.5,84.1,20.5125
1388.8,32701.375,81.05,20.175
1388.8501,32524.125,95.9625,20.15
1388.9625,32554,93.6625,16.6125
1389,32672.625,94.4375,17.35
